group,id,course,trimester,grade
1,8,Ancient Magic and Mysticism,1,7.5
1,8,Ancient Magic and Mysticism,1,9.5
1,8,Ancient Magic and Mysticism,1,8.5
1,8,Ancient Magic and Mysticism,1,6.5
1,8,Ancient Magic and Mysticism,1,9
1,8,Ancient Magic and Mysticism,1,9.5
1,8,Ancient Magic and Mysticism,1,8
1,8,Ancient Magic and Mysticism,1,10
1,8,Ancient Magic and Mysticism,1,8
1,8,Celestial Navigation and Astronomy,2,5
1,8,Celestial Navigation and Astronomy,2,8
1,8,Celestial Navigation and Astronomy,2,7
1,8,Celestial Navigation and Astronomy,2,2
1,8,Celestial Navigation and Astronomy,2,9
1,8,Celestial Navigation and Astronomy,2,8
1,8,Celestial Navigation and Astronomy,2,4
1,8,Celestial Navigation and Astronomy,2,3
1,8,Celestial Navigation and Astronomy,2,13
1,8,Dragon Lore and Taming,2,9
1,8,Dragon Lore and Taming,2,6.5
1,8,Dragon Lore and Taming,2,7
1,8,Dragon Lore and Taming,2,6.5
1,8,Dragon Lore and Taming,2,5.5
1,8,Dragon Lore and Taming,2,5.5
1,8,Elemental Mastery and Control,1,13
1,8,Elemental Mastery and Control,1,12
1,8,Elemental Mastery and Control,1,10
1,8,Elemental Mastery and Control,1,16
1,8,History of the Arcane,3,6.5
1,8,History of the Arcane,3,14.5
1,8,History of the Arcane,3,7
1,8,History of the Arcane,3,12
1,8,History of the Arcane,3,9
1,8,History of the Arcane,3,8
1,8,Illusion and Enchantment,1,15.5
1,8,Illusion and Enchantment,1,14
1,8,Necromancy and Spirit Summoning,1,9
1,8,Necromancy and Spirit Summoning,1,10
1,8,Necromancy and Spirit Summoning,1,6.5
1,8,Necromancy and Spirit Summoning,1,8.5
1,8,Necromancy and Spirit Summoning,1,8.5
1,8,Necromancy and Spirit Summoning,1,12.5
1,8,Necromancy and Spirit Summoning,1,14.5
1,8,Necromancy and Spirit Summoning,1,8.5
1,8,Necromancy and Spirit Summoning,1,8.5
1,8,Necromancy and Spirit Summoning,1,9.5
1,8,Potion Brewing and Herbology,2,14
1,8,Potion Brewing and Herbology,2,14.5
1,8,Potion Brewing and Herbology,2,14.5
1,8,Potion Brewing and Herbology,2,10.5
1,8,Runecrafting and Glyphwork,1,5.75
1,8,Runecrafting and Glyphwork,1,11
1,8,Runecrafting and Glyphwork,1,10
1,8,Swordsmanship and Martial Arts,1,12.5
1,8,Swordsmanship and Martial Arts,1,14
1,8,Swordsmanship and Martial Arts,1,14.5
1,8,Swordsmanship and Martial Arts,1,14
1,8,Swordsmanship and Martial Arts,1,10.5
1,8,Swordsmanship and Martial Arts,1,15
1,8,Swordsmanship and Martial Arts,1,10
1,8,Swordsmanship and Martial Arts,1,15
1,13,Ancient Magic and Mysticism,1,8
1,13,Ancient Magic and Mysticism,1,10
1,13,Ancient Magic and Mysticism,1,11
1,13,Ancient Magic and Mysticism,1,7.5
1,13,Ancient Magic and Mysticism,1,6.5
1,13,Ancient Magic and Mysticism,1,9
1,13,Ancient Magic and Mysticism,1,10
1,13,Ancient Magic and Mysticism,1,7
1,13,Ancient Magic and Mysticism,1,10
1,13,Celestial Navigation and Astronomy,2,8
1,13,Celestial Navigation and Astronomy,2,12
1,13,Celestial Navigation and Astronomy,2,14
